NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
Patrick Mahomes,KC,10,28,QB,QB1,19.8
Josh Allen,BUF,13,28,QB,QB2,32.5
Kyler Murray,ARI,14,26,QB,QB3,41.7
Lamar Jackson,BAL,13,27,QB,QB4,50.1
Aaron Rodgers,GB,6,40,QB,QB5,54.1
Dak Prescott,DAL,7,30,QB,QB6,64.3
Russell Wilson,SEA,5,35,QB,QB7,66.3
Justin Herbert,LAC,5,26,QB,QB8,70.1
Tom Brady,TB,5,46,QB,QB9,75.2
Matthew Stafford,LAR,10,36,QB,QB10,87.2
Ryan Tannehill,TEN,7,35,QB,QB11,94.7
Jalen Hurts,PHI,10,25,QB,QB12,94.8
Joe Burrow,CIN,7,27,QB,QB13,113.4
Trey Lance,SF,9,24,QB,QB14,122.8
Justin Fields,CHI,13,25,QB,QB15,126.8
Trevor Lawrence,JAX,9,24,QB,QB16,133.1
Matt Ryan,ATL,11,39,QB,QB17,211
Tua Tagovailoa,MIA,10,26,QB,QB18,214
Baker Mayfield,CLE,5,29,QB,QB19,216
Kirk Cousins,MIN,13,35,QB,QB20,220
Ryan Fitzpatrick,WAS,14,41,QB,QB21,221
Derek Carr,LV,13,33,QB,QB22,222
Daniel Jones,NYG,13,27,QB,QB23,225
Ben Roethlisberger,PIT,6,42,QB,QB24,226
Jameis Winston,NO,11,30,QB,QB25,227
Zach Wilson,NYJ,7,24,QB,QB26,229
Sam Darnold,CAR,7,27,QB,QB27,230
Mac Jones,NE,11,25,QB,QB28,235
Carson Wentz,IND,11,31,QB,QB29,237
Jared Goff,DET,9,29,QB,QB30,240
Teddy Bridgewater,DEN,9,31,QB,QB31,248
Tyrod Taylor,HOU,7,34,QB,QB32,273
Deshaun Watson,HOU,7,28,QB,QB33,288
Taysom Hill,NO,11,33,QB,QB34,331
Jimmy Garoppolo,SF,9,32,QB,QB35,348
Davis Mills,HOU,7,25,QB,QB36,355
Drew Lock,DEN,9,27,QB,QB37,366
Andy Dalton,CHI,13,36,QB,QB38,368
Jordan Love,GB,6,25,QB,QB39,415
Gardner Minshew II,PHI,10,28,QB,QB40,429
Taylor Heinicke,WAS,14,31,QB,QB41,435
Jacob Eason,IND,11,26,QB,QB42,436
Marcus Mariota,LV,13,30,QB,QB43,448
Mitchell Trubisky,BUF,13,29,QB,QB44,479
Kyle Trask,TB,5,26,QB,QB45,506
Bryce Perkins,LAR,10,27,QB,QB46,512
Jacoby Brissett,MIA,10,31,QB,QB47,519
Mike White,NYJ,7,29,QB,QB48,524
Mason Rudolph,PIT,6,28,QB,QB49,531
Tyler Huntley,BAL,13,26,QB,QB50,533
Christian McCaffrey,CAR,7,28,RB,RB1,1.3
Dalvin Cook,MIN,13,28,RB,RB2,2.5
Alvin Kamara,NO,11,28,RB,RB3,3.1
Ezekiel Elliott,DAL,7,28,RB,RB4,5.3
Derrick Henry,TEN,7,30,RB,RB5,6.4
Austin Ekeler,LAC,5,29,RB,RB6,6.5
Aaron Jones,GB,6,29,RB,RB7,9
