Player,Pos,Team,PassingAtt,Completions,PassingYds,PassingTD,Interceptions,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FumblesLost,FantasyPoints
Jalen Hurts,QB,PHI,504.20,327.00,3729.00,25.00,14.10,135.30,562.30,11.50,0.00,0.00,0.00,4.20,0.00
Josh Allen,QB,BUF,528.40,345.60,3783.40,27.00,14.20,109.40,564.00,9.30,0.00,0.00,0.00,4.00,0.00
Patrick Mahomes II,QB,KC,581.70,391.70,4282.50,32.60,11.50,69.60,379.30,1.00,0.00,0.00,0.00,2.70,0.00
Lamar Jackson,QB,BAL,458.00,299.00,3512.70,25.60,12.10,124.20,738.30,4.90,0.00,0.00,0.00,4.60,0.00
Dak Prescott,QB,DAL,563.80,381.50,4161.20,30.30,13.60,53.40,229.00,2.00,0.00,0.00,0.00,2.70,0.00
Joe Burrow,QB,CIN,575.60,388.30,4212.40,29.80,12.20,51.50,161.70,2.30,0.00,0.00,0.00,2.60,0.00
C.J. Stroud,QB,HOU,535.10,347.20,4132.00,28.90,9.90,42.80,171.80,2.80,0.00,0.00,0.00,4.00,0.00
Jordan Love,QB,GB,516.30,336.10,3821.20,30.60,11.80,47.90,197.50,2.80,0.00,0.00,0.00,3.00,0.00
Anthony Richardson,QB,IND,498.50,316.60,3493.30,19.80,11.40,117.70,538.40,6.90,0.00,0.00,0.00,5.50,0.00
Kyler Murray,QB,ARI,534.90,357.70,3590.60,22.70,12.80,85.30,462.20,4.60,0.00,0.00,0.00,2.30,0.00
Brock Purdy,QB,SF,473.30,320.10,4056.30,28.60,10.40,45.40,165.20,2.20,0.00,0.00,0.00,2.50,0.00
Jayden Daniels,QB,WAS,530.90,332.40,3539.20,21.50,16.80,108.90,573.70,4.60,0.00,0.00,0.00,4.10,0.00
Justin Herbert,QB,LAC,534.10,348.60,3794.10,26.50,9.40,62.30,263.10,2.70,0.00,0.00,0.00,2.50,0.00
Trevor Lawrence,QB,JAC,548.80,364.50,3872.80,24.20,12.70,64.20,295.00,4.10,0.00,0.00,0.00,5.20,0.00
Caleb Williams,QB,CHI,518.80,334.60,3595.80,25.50,15.10,72.80,359.10,3.60,0.00,0.00,0.00,4.50,0.00
Deshaun Watson,QB,CLE,535.90,327.20,3823.70,23.80,14.80,69.50,349.50,2.30,0.00,0.00,0.00,4.20,0.00
Kirk Cousins,QB,ATL,525.30,344.30,4017.20,27.40,9.10,35.40,114.10,1.80,0.00,0.00,0.00,5.30,0.00
Baker Mayfield,QB,TB,556.00,352.20,3964.20,26.40,12.00,51.70,156.40,1.10,0.00,0.00,0.00,3.40,0.00
Jared Goff,QB,DET,546.50,373.10,4088.50,26.60,10.10,32.50,46.30,1.40,0.00,0.00,0.00,3.20,0.00
Tua Tagovailoa,QB,MIA,523.60,357.20,4165.10,25.90,13.00,37.00,103.60,0.50,0.00,0.00,0.00,4.20,0.00
Aaron Rodgers,QB,NYJ,538.60,352.40,3761.60,25.80,9.50,31.10,92.10,2.00,0.00,0.00,0.00,2.50,0.00
Matthew Stafford,QB,LAR,545.80,349.20,4101.30,25.60,13.20,25.30,66.00,0.50,0.00,0.00,0.00,1.70,0.00
Geno Smith,QB,SEA,503.80,334.40,3646.60,24.40,12.10,45.60,205.40,1.70,0.00,0.00,0.00,3.10,0.00
Derek Carr,QB,NO,535.50,356.80,3871.30,26.90,11.10,31.50,71.30,0.30,0.00,0.00,0.00,3.40,0.00
Daniel Jones,QB,NYG,486.30,313.70,3198.00,17.00,12.80,98.80,522.10,3.50,0.00,0.00,0.00,3.90,0.00
Will Levis,QB,TEN,498.30,318.10,3578.10,19.80,13.90,49.00,171.70,2.00,0.00,0.00,0.00,4.80,0.00
J.J. McCarthy,QB,MIN,483.70,310.30,3370.60,19.70,13.20,38.70,186.60,1.50,0.00,0.00,0.00,2.40,0.00
Bryce Young,QB,CAR,514.40,318.10,3284.60,20.10,11.80,42.00,248.80,0.90,0.00,0.00,0.00,3.70,0.00
Russell Wilson,QB,PIT,414.80,261.80,2877.20,16.90,9.60,64.50,283.00,3.50,0.00,0.00,0.00,3.70,0.00
Bo Nix,QB,DEN,443.00,278.90,2908.90,18.70,11.40,48.20,202.70,1.40,0.00,0.00,0.00,3.30,0.00
Drake Maye,QB,NE,421.90,268.50,2737.20,14.80,13.70,52.20,241.80,1.80,0.00,0.00,0.00,2.50,0.00
Gardner Minshew II,QB,LV,350.60,219.90,2384.10,13.20,9.40,25.60,78.30,1.30,0.00,0.00,0.00,2.80,0.00
Aidan O'Connell,QB,LV,204.70,129.20,1399.30,7.30,5.20,16.10,41.20,0.70,0.00,0.00,0.00,1.40,0.00
Taysom Hill,QB,NO,5.00,4.00,38.00,0.00,0.00,80.00,406.00,6.00,0.00,0.00,0.00,1.00,0.00
Justin Fields,QB,PIT,98.40,60.50,664.80,3.80,2.70,36.30,192.10,1.10,0.00,0.00,0.00,1.30,0.00
Sam Darnold,QB,MIN,128.80,81.90,881.60,5.50,3.50,9.60,28.00,0.30,0.00,0.00,0.00,0.60,0.00
Jacoby Brissett,QB,NE,128.30,82.50,826.10,4.80,4.30,11.90,50.40,0.20,0.00,0.00,0.00,0.80,0.00
Jarrett Stidham,QB,DEN,101.10,63.90,681.60,4.30,3.00,12.70,47.20,0.20,0.00,0.00,0.00,0.90,0.00
Sean Clifford,QB,GB,66.40,42.10,463.80,3.50,1.70,7.00,26.50,0.20,0.00,0.00,0.00,0.50,0.00
Case Keenum,QB,HOU,71.70,44.50,474.40,3.70,1.80,5.90,19.40,0.20,0.00,0.00,0.00,0.60,0.00
Hendon Hooker,QB,DET,68.20,44.30,463.00,2.90,1.70,6.10,25.70,0.30,0.00,0.00,0.00,0.50,0.00
Sam Howell,QB,SEA,61.60,40.00,435.70,2.70,1.90,7.50,36.60,0.40,0.00,0.00,0.00,0.30,0.00
Mason Rudolph,QB,TEN,75.00,45.90,489.90,2.40,1.80,6.50,22.60,0.20,0.00,0.00,0.00,0.60,0.00
Nathan Peterman,QB,NO,65.50,40.50,428.10,2.90,1.80,5.90,24.30,0.20,0.00,0.00,0.00,0.50,0.00
Drew Lock,QB,NYG,65.50,40.80,452.30,2.20,2.00,6.90,28.90,0.30,0.00,0.00,0.00,0.30,0.00
Jake Browning,QB,CIN,47.80,31.00,336.60,2.30,1.50,5.40,25.50,0.30,0.00,0.00,0.00,0.20,0.00
Carson Wentz,QB,KC,48.60,30.80,326.90,2.60,1.40,5.20,22.50,0.20,0.00,0.00,0.00,0.30,0.00
Mitchell Trubisky,QB,BUF,45.70,29.70,308.20,2.00,1.40,8.00,31.10,0.50,0.00,0.00,0.00,0.20,0.00
Joshua Dobbs,QB,SF,40.60,26.90,305.00,2.20,0.80,6.00,28.70,0.30,0.00,0.00,0.00,0.40,0.00
Cooper Rush,QB,DAL,48.20,30.50,337.90,2.40,1.40,5.70,10.00,0.10,0.00,0.00,0.00,0.30,0.00
Marcus Mariota,QB,WAS,46.80,29.10,319.70,1.50,1.50,8.30,44.10,0.30,0.00,0.00,0.00,0.40,0.00
Jimmy Garoppolo,QB,LAR,44.30,29.20,345.10,2.30,1.40,3.70,12.20,0.10,0.00,0.00,0.00,0.20,0.00
Tyson Bagent,QB,CHI,45.30,29.60,315.70,2.00,1.40,5.80,25.70,0.20,0.00,0.00,0.00,0.30,0.00
Josh Johnson,QB,BAL,42.70,26.70,293.60,1.90,1.40,8.80,37.00,0.30,0.00,0.00,0.00,0.30,0.00
Tyrod Taylor,QB,NYJ,45.30,28.30,296.80,2.20,0.90,5.70,26.90,0.10,0.00,0.00,0.00,0.30,0.00
Kenny Pickett,QB,PHI,43.80,28.60,309.50,2.00,1.20,7.10,24.80,0.20,0.00,0.00,0.00,0.20,0.00
