NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Patrick Mahomes,KC,QB,16.00,4722.00,36.00,12.00,267.00,2.00,0.00,0.00,0.00,21.70,347.60
Deshaun Watson,HOU,QB,16.00,4027.00,26.00,11.00,491.00,4.00,0.00,0.00,0.00,19.80,316.20
Aaron Rodgers,GB,QB,16.00,4149.00,29.00,7.00,291.00,1.00,0.00,0.00,0.00,18.90,303.10
Matt Ryan,ATL,QB,16.00,4606.00,29.00,10.00,129.00,1.00,0.00,0.00,0.00,18.70,299.10
Carson Wentz,PHI,QB,16.00,4319.00,31.00,11.00,167.00,1.00,0.00,0.00,0.00,18.60,297.50
Baker Mayfield,CLE,QB,16.00,4626.00,30.00,15.00,149.00,1.00,0.00,0.00,0.00,18.50,295.90
Jared Goff,LAR,QB,16.00,4417.00,31.00,11.00,93.00,1.00,0.00,0.00,0.00,18.40,294.00
Cam Newton,CAR,QB,16.00,3787.00,24.00,15.00,521.00,4.00,0.00,0.00,0.00,18.30,293.60
Russell Wilson,SEA,QB,16.00,3679.00,29.00,10.00,376.00,2.00,0.00,0.00,0.00,18.30,292.80
Drew Brees,NO,QB,16.00,4414.00,30.00,9.00,22.00,2.00,0.00,0.00,0.00,18.30,292.80
Jameis Winston,TB,QB,16.00,4494.00,27.00,17.00,296.00,1.00,0.00,0.00,0.00,18.10,289.40
Dak Prescott,DAL,QB,16.00,3988.00,24.00,11.00,232.00,5.00,0.00,0.00,0.00,17.90,286.70
Tom Brady,NE,QB,16.00,4380.00,29.00,9.00,29.00,1.00,0.00,0.00,0.00,17.60,282.10
Lamar Jackson,BAL,QB,16.00,2934.00,15.00,13.00,873.00,7.00,0.00,0.00,0.00,17.50,280.70
Mitchell Trubisky,CHI,QB,16.00,3776.00,24.00,13.00,415.00,3.00,0.00,0.00,0.00,17.50,280.50
Kyler Murray,ARI,QB,16.00,3738.00,21.00,15.00,517.00,4.00,0.00,0.00,0.00,17.50,279.20
Ben Roethlisberger,PIT,QB,16.00,4465.00,29.00,15.00,75.00,1.00,0.00,0.00,0.00,17.40,278.10
Philip Rivers,LAC,QB,16.00,4462.00,30.00,12.00,16.00,0.00,0.00,0.00,0.00,17.30,276.10
Kirk Cousins,MIN,QB,16.00,3914.00,27.00,11.00,151.00,1.00,0.00,0.00,0.00,16.50,263.70
Josh Allen,BUF,QB,16.00,3043.00,18.00,14.00,619.00,6.00,0.00,0.00,0.00,16.50,263.60
Jimmy Garoppolo,SF,QB,16.00,4394.00,25.00,16.00,84.00,1.00,0.00,0.00,0.00,16.10,258.20
Jacoby Brissett,IND,QB,16.00,3509.00,20.00,9.00,259.00,4.00,0.00,0.00,0.00,15.80,252.30
Andy Dalton,CIN,QB,16.00,3752.00,26.00,14.00,145.00,1.00,0.00,0.00,0.00,15.40,246.60
Derek Carr,LV,QB,16.00,4059.00,23.00,12.00,63.00,1.00,0.00,0.00,0.00,15.20,242.70
Matthew Stafford,DET,QB,16.00,3959.00,24.00,11.00,83.00,0.00,0.00,0.00,0.00,15.00,240.70
Sam Darnold,NYJ,QB,16.00,3796.00,23.00,16.00,187.00,1.00,0.00,0.00,0.00,14.80,236.50
Marcus Mariota,TEN,QB,16.00,3261.00,18.00,12.00,356.00,3.00,0.00,0.00,0.00,14.50,232.00
