NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Patrick Mahomes,KC,QB,16,4722,36,12,267,2,0,0,0,21.7,347.6
Deshaun Watson,HOU,QB,16,4027,26,11,491,4,0,0,0,19.8,316.2
Aaron Rodgers,GB,QB,16,4149,29,7,291,1,0,0,0,18.9,303.1
Matt Ryan,ATL,QB,16,4606,29,10,129,1,0,0,0,18.7,299.1
Carson Wentz,PHI,QB,16,4319,31,11,167,1,0,0,0,18.6,297.5
Baker Mayfield,CLE,QB,16,4626,30,15,149,1,0,0,0,18.5,295.9
Jared Goff,LAR,QB,16,4417,31,11,93,1,0,0,0,18.4,294
Cam Newton,CAR,QB,16,3787,24,15,521,4,0,0,0,18.3,293.6
Russell Wilson,SEA,QB,16,3679,29,10,376,2,0,0,0,18.3,292.8
Drew Brees,NO,QB,16,4414,30,9,22,2,0,0,0,18.3,292.8
Jameis Winston,TB,QB,16,4494,27,17,296,1,0,0,0,18.1,289.4
Dak Prescott,DAL,QB,16,3988,24,11,232,5,0,0,0,17.9,286.7
Tom Brady,NE,QB,16,4380,29,9,29,1,0,0,0,17.6,282.1
Lamar Jackson,BAL,QB,16,2934,15,13,873,7,0,0,0,17.5,280.7
Mitchell Trubisky,CHI,QB,16,3776,24,13,415,3,0,0,0,17.5,280.5
Kyler Murray,ARI,QB,16,3738,21,15,517,4,0,0,0,17.5,279.2
Ben Roethlisberger,PIT,QB,16,4465,29,15,75,1,0,0,0,17.4,278.1
Philip Rivers,LAC,QB,16,4462,30,12,16,0,0,0,0,17.3,276.1
Kirk Cousins,MIN,QB,16,3914,27,11,151,1,0,0,0,16.5,263.7
Josh Allen,BUF,QB,16,3043,18,14,619,6,0,0,0,16.5,263.6
Jimmy Garoppolo,SF,QB,16,4394,25,16,84,1,0,0,0,16.1,258.2
Jacoby Brissett,IND,QB,16,3509,20,9,259,4,0,0,0,15.8,252.3
Andy Dalton,CIN,QB,16,3752,26,14,145,1,0,0,0,15.4,246.6
Derek Carr,LV,QB,16,4059,23,12,63,1,0,0,0,15.2,242.7
Matthew Stafford,DET,QB,16,3959,24,11,83,0,0,0,0,15,240.7
Sam Darnold,NYJ,QB,16,3796,23,16,187,1,0,0,0,14.8,236.5
Marcus Mariota,TEN,QB,16,3261,18,12,356,3,0,0,0,14.5,232
Nick Foles,JAX,QB,16,3729,22,13,81,0,0,0,0,13.7,219.3
Joe Flacco,DEN,QB,16,3578,19,13,74,1,0,0,0,12.9,206.5
Eli Manning,NYG,QB,16,2975,16,9,19,1,0,0,0,10.8,172.9
Ryan Fitzpatrick,MIA,QB,16,2701,17,14,158,1,0,0,0,10.6,169.8
Case Keenum,WAS,QB,16,1871,11,8,78,1,0,0,0,7.3,116.6
Dwayne Haskins,WAS,QB,16,1914,10,8,79,1,0,0,0,7.2,114.5
Daniel Jones,NYG,QB,16,1037,6,4,29,0,0,0,0,3.8,60.4
Josh Rosen,MIA,QB,16,830,5,4,58,0,0,0,0,3.2,51
C.J. Beathard,SF,QB,16,471,3,2,20,0,0,0,0,1.8,28.8
