Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
1,Christian McCaffrey,RB,SF,9,1,1
2,CeeDee Lamb,WR,DAL,7,1,1
3,Tyreek Hill,WR,MIA,6,2,1
4,Bijan Robinson,RB,ATL,12,2,1
5,Breece Hall,RB,NYJ,12,3,1
6,Ja'Marr Chase,WR,CIN,12,3,1
7,Amon-Ra St. Brown,WR,DET,5,4,1
8,Justin Jefferson,WR,MIN,6,5,1
9,A.J. Brown,WR,PHI,5,6,1
10,Garrett Wilson,WR,NYJ,12,7,1
11,Jahmyr Gibbs,RB,DET,5,4,1
12,Puka Nacua,WR,LAR,6,8,1
13,Jonathan Taylor,RB,IND,14,5,1
14,Kyren Williams,RB,LAR,6,6,1
15,Marvin Harrison Jr.,WR,ARI,11,9,2
16,Davante Adams,WR,LV,10,10,2
17,Drake London,WR,ATL,12,11,2
18,Chris Olave,WR,NO,12,12,2
19,Saquon Barkley,RB,PHI,5,7,1
20,Jaylen Waddle,WR,MIA,6,13,2
21,Brandon Aiyuk,WR,SF,9,14,2
22,De'Von Achane,RB,MIA,6,8,1
23,Derrick Henry,RB,BAL,14,9,1
24,Deebo Samuel,WR,SF,9,15,2
25,Malik Nabers,WR,NYG,11,16,2
26,Travis Etienne,RB,JAC,12,10,1
27,Nico Collins,WR,HOU,14,17,2
28,Mike Evans,WR,TB,11,18,2
29,Travis Kelce,TE,KC,6,1,1
30,Sam LaPorta,TE,DET,5,2,1
31,Jalen Hurts,QB,PHI,5,1,1
32,Josh Allen,QB,BUF,12,2,1
33,Isiah Pacheco,RB,KC,6,11,1
34,Cooper Kupp,WR,LAR,6,19,2
35,DK Metcalf,WR,SEA,10,20,2
36,D.J. Moore,WR,CHI,7,21,2
37,DeVonta Smith,WR,PHI,5,22,2
38,Michael Pittman Jr.,WR,IND,14,23,3
39,James Cook,RB,BUF,12,12,2
40,Josh Jacobs,RB,GB,10,13,2
41,Mark Andrews,TE,BAL,14,3,1
42,Dalton Kincaid,TE,BUF,12,4,1
43,Trey McBride,TE,ARI,11,5,1
44,Lamar Jackson,QB,BAL,14,3,1
45,Stefon Diggs,WR,HOU,14,24,3
46,Tee Higgins,WR,CIN,12,25,3
47,Amari Cooper,WR,CLE,10,26,3
48,Christian Kirk,WR,JAC,12,27,4
49,Patrick Mahomes,QB,KC,6,4,1
50,Rachaad White,RB,TB,11,14,2
51,Joe Mixon,RB,HOU,14,15,2
52,Kenneth Walker III,RB,SEA,10,16,2
53,Alvin Kamara,RB,NO,12,17,3
54,Tank Dell,WR,HOU,14,28,4
55,Zay Flowers,WR,BAL,14,29,4
56,Kyle Pitts,TE,ATL,12,6,1
57,Calvin Ridley,WR,TEN,5,30,4
58,DeAndre Hopkins,WR,TEN,5,31,4
59,George Pickens,WR,PIT,9,32,4
60,Keenan Allen,WR,CHI,7,33,4
61,Anthony Richardson,QB,IND,14,5,1
62,Terry McLaurin,WR,WSH,14,34,4
63,James Conner,RB,ARI,11,18,3
64,David Montgomery,RB,DET,5,19,3
65,George Kittle,TE,SF,9,7,1
66,Aaron Jones,RB,MIN,6,20,3
67,C.J. Stroud,QB,HOU,14,6,1
68,Rome Odunze,WR,CHI,7,35,4
69,Chris Godwin,WR,TB,11,36,4
70,Kyler Murray,QB,ARI,11,7,1
71,Jonathon Brooks,RB,CAR,11,21,3
72,Zamir White,RB,LV,10,22,3
73,Jaylen Warren,RB,PIT,9,23,3
74,Rhamondre Stevenson,RB,NE,14,24,3
75,D'Andre Swift,RB,CHI,7,25,3
76,Raheem Mostert,RB,MIA,6,26,3
77,Najee Harris,RB,PIT,9,27,3
78,Xavier Worthy,WR,KC,6,37,4
