Player,Position,Team,ESPN,Sleeper,Yahoo,Underdog,Underdog LW,NFFC,FFPC,Dynasty ADP,RT,Con. ADP
Christian McCaffrey,RB,SF,1.4,,1.1,1.3,,1.3,2.2,8,1.3,1.4
CeeDee Lamb,WR,DAL,2.8,,2.5,1.9,-0.1,2.3,3.4,2.5,2.6,2.6
Tyreek Hill,WR,MIA,3.9,,3.1,3.1,,4,5.5,12.5,4.4,4
Ja'Marr Chase,WR,CIN,6.7,,5.7,4.3,0.2,5.7,7.8,2.5,7.3,6.2
Justin Jefferson,WR,MIN,7.5,,6.9,5.3,-0.2,7.8,10.1,1,6.9,7.2
Amon-Ra St. Brown,WR,DET,7.3,,8.1,6,0.1,6.5,9,4.5,7.9,7.5
Bijan Robinson,RB,ATL,6.7,,6.4,6.9,,4.2,5.7,5,5.8,6.4
Breece Hall,RB,NYJ,6.1,,4.7,8.1,,4.7,7.3,7,5.1,6.1
A.J. Brown,WR,PHI,11.9,,10.6,8.8,-0.1,9.8,13.1,11,12.9,11.4
Puka Nacua,WR,LA,12.9,,13.8,10.4,0.2,11.1,15.5,9.5,12.7,12.6
Garrett Wilson,WR,NYJ,14,,12.7,10.8,0.1,11,15.1,12,14.6,13.1
Jahmyr Gibbs,RB,DET,16.6,,13.4,13,0.1,11.4,14.5,9.5,13.3,14.1
Marvin Harrison,WR,ARI,25.1,,17.9,13.5,-0.1,15.4,20.9,7,23.8,20.7
Drake London,WR,ATL,35.6,,28.8,14.6,0.1,18,23.9,20.5,29.5,26.7
Jonathan Taylor,RB,IND,13.7,,9.5,16.2,-0.1,13.3,16.4,14,13.1,13.6
Chris Olave,WR,NO,25.8,,21.7,17,0.5,18.2,28.9,18,26.8,23
Nico Collins,WR,HOU,37.4,,36.3,17.4,-1,24.8,33.1,31,28.9,29.1
Brandon Aiyuk,WR,SF,42,,24,18.7,0.5,28.9,38.9,22,41.7,32.7
Davante Adams,WR,LV,22.1,,20.6,19.2,-0.1,19.6,29.6,48.5,20.4,21.6
Jaylen Waddle,WR,MIA,48.8,,39,19.7,-0.1,28.6,36.5,22.5,39.4,35.6
Saquon Barkley,RB,PHI,12.2,,12.6,20.5,0.1,14.6,17.5,25.5,12.4,15.4
Deebo Samuel,WR,SF,48.3,,29.3,21.1,-0.3,37.5,42.9,49.5,30.1,34.4
Mike Evans,WR,TB,34,,26.4,23.3,-0.1,30.5,40.2,59,40,32.7
De'Von Achane,RB,MIA,33.9,,30.4,24,-0.3,21,29.4,26.5,21.3,26.6
DeVonta Smith,WR,PHI,51.5,,52.6,25.3,0.2,37.2,47.5,28.5,44.2,45.3
Malik Nabers,WR,NYG,65,,72.5,26.7,0.2,42.8,46.1,16.5,64.9,56.2
DK Metcalf,WR,SEA,38.2,,41.6,26.9,0.3,33,48.1,39,39.5,41.1
Cooper Kupp,WR,LA,50.3,,41.3,28,-1.2,35,40.2,66.5,45.4,39.2
Kyren Williams,RB,LA,17.2,,16.2,29,-0.5,18.4,28.4,21,23.1,21.6
Derrick Henry,RB,BAL,18.9,,16.6,30.1,-1,24.2,25.4,59.5,25.4,25.2
DJ Moore,WR,CHI,49.1,,37.9,30.4,1.2,32.2,50.8,30.5,43.9,38.8
Stefon Diggs,WR,HOU,33.9,,45.3,32.2,0.5,35.1,54.9,53.5,38,39.8
Michael Pittman,WR,IND,30.8,,45.2,33.8,0.1,24.6,47.8,27,28.1,35.1
Tank Dell,WR,HOU,69.8,,72.3,34.6,-0.1,58.4,64.9,40,83.8,64.4
Zay Flowers,WR,BAL,62,,69.3,35.6,-0.6,48.8,57.4,38,62.2,59.4
Sam LaPorta,TE,DET,27.3,,25.1,36.8,0.9,29.4,18.1,17,25.7,27
Josh Allen,QB,BUF,27.4,,22,37.7,0.1,30.1,25.6,24,22.7,26.8
George Pickens,WR,PIT,74.1,,71.3,39.1,-1.3,47.3,61.6,51,60.1,62.9
Travis Kelce,TE,KC,22.9,,25.7,39.3,0.2,35.7,19.5,53.5,30.6,30
Tee Higgins,WR,CIN,73.8,,61.5,40.6,0.7,56.5,64.3,43,66.3,63.5
Amari Cooper,WR,CLE,81.8,,51.1,40.7,-0.7,50.5,61.3,73,57.7,59.9
Jalen Hurts,QB,PHI,32.8,,30.7,41.6,0.8,38.5,30.7,37,28.8,33.7
Isiah Pacheco,RB,KC,19.8,,22.8,42.6,-2.4,27.7,35.6,42.5,31,31.9
Travis Etienne,RB,JAC,23.8,,22.3,44.2,0.7,21.1,30.8,23.5,20.2,26.5
Christian Kirk,WR,JAC,98,,82.3,44.2,0.9,56.5,67,82.5,74.9,73.3
