Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
Josh Allen,BUF,QB,17,3935.2,27.8,14,578.5,8.4,0,0,0,20.1,341.7
Patrick Mahomes,KC,QB,17,4436.3,32.6,12.1,360.9,1.5,0,0,0,19,323
Jalen Hurts,PHI,QB,17,3850.1,23.2,12.3,608.4,11,0,0,0,20,340
C.J. Stroud,HOU,QB,17,4397.7,29.8,9.4,174.9,2.5,0,0,0,17.8,302.6
Dak Prescott,DAL,QB,17,4313,30.8,12.6,223.3,1.9,0,0,0,17.5,297.5
Lamar Jackson,BAL,QB,17,3497.7,24.8,10.1,773.8,4.4,0,0,0,18.5,314.5
Joe Burrow,CIN,QB,17,4239.2,29.9,12.1,190.9,2.3,0,0,0,17.2,292.4
Jordan Love,GB,QB,17,3992.9,29.9,11.5,217.9,2.7,0,0,0,16.9,287.3
Brock Purdy,SF,QB,17,4116.1,29.5,11.3,141.7,1.6,0,0,0,16.5,280.5
Jared Goff,DET,QB,17,4295.6,28.9,10.4,47.8,1.1,0,0,0,16,272
Anthony Richardson,IND,QB,17,3421.9,19.7,10,658.3,7.3,0,0,0,17.3,294.1
Kyler Murray,ARI,QB,17,3623.2,21.8,11.7,504.2,5,0,0,0,16.6,282.2
Jayden Daniels,WAS,QB,17,3614.5,20.4,14.3,607.7,4.7,0,0,0,16.3,277.1
Tua Tagovailoa,MIA,QB,17,4280.5,27.2,12.6,82.2,0.5,0,0,0,15.2,258.4
Trevor Lawrence,JAX,QB,17,3898.9,23.6,12.9,303.4,3.5,0,0,0,15.7,266.9
Caleb Williams,CHI,QB,17,3867.3,24.2,13.2,295.6,3.2,0,0,0,15.6,265.2
Justin Herbert,LAC,QB,17,3674,24,8.8,263.3,3.1,0,0,0,15.6,265.2
Kirk Cousins,ATL,QB,17,3914.3,26.1,10.4,78.2,1,0,0,0,14.4,244.8
Baker Mayfield,TB,QB,17,3776.7,25.4,11.5,153.9,1.3,0,0,0,14.4,244.8
Deshaun Watson,CLE,QB,17,3545.8,22.2,13.7,374.9,2.8,0,0,0,14.7,249.9
Geno Smith,SEA,QB,17,3787.4,23.6,11.5,181.5,1.3,0,0,0,14.3,243.1
Matthew Stafford,LAR,QB,17,3949.3,25.5,12.4,55,0.3,0,0,0,14,238
Aaron Rodgers,NYJ,QB,17,3792.4,24.9,9.8,81.6,1.2,0,0,0,14.2,241.4
Derek Carr,NO,QB,17,3844.2,24.4,10.8,63.3,0.4,0,0,0,13.6,231.2
Will Levis,TEN,QB,17,3750.4,20.1,11.5,156.4,1.9,0,0,0,13.4,227.8
Daniel Jones,NYG,QB,17,3270.1,16.2,11.1,437.4,3.1,0,0,0,13.3,226.1
Bryce Young,CAR,QB,17,3389.7,19.3,11.2,250.1,1.4,0,0,0,12.7,215.9
Bo Nix,DEN,QB,17,3096.4,18.6,11.3,220.4,2,0,0,0,12.1,205.7
Russell Wilson,PIT,QB,17,2830.2,17.6,8.9,282.9,3.1,0,0,0,12.2,207.4
J.J. McCarthy,MIN,QB,17,3037,17.4,10.7,167.6,1.4,0,0,0,11.1,188.7
Drake Maye,NE,QB,17,2879.6,16.3,12,246.1,2.2,0,0,0,11,187
Gardner Minshew II,LV,QB,17,2414.2,13.6,8.2,75.9,1.3,0,0,0,8.5,144.5
Sam Darnold,MIN,QB,17,1335.2,7.2,4.4,63.1,0.6,0,0,0,4.7,79.9
Aidan O'Connell,LV,QB,17,1337,7.5,4.7,19.9,0.3,0,0,0,4.4,74.8
Justin Fields,PIT,QB,17,667.9,3.9,2.6,167,1.2,0,0,0,3.5,59.5
Taysom Hill,NO,QB,17,0,0,0,144.6,1.6,20.7,193.5,1.2,2.2,37.4
Jacoby Brissett,NE,QB,17,693.7,3.7,3.1,38.1,0.1,0,0,0,2.3,39.1
Jimmy Garoppolo,LAR,QB,17,485.3,3.1,1.9,11.3,0.1,0,0,0,1.7,28.9
Drew Lock,NYG,QB,17,486.3,2.6,1.8,19.4,0.1,0,0,0,1.6,27.2
Sam Howell,SEA,QB,17,441.5,2.6,1.8,24.9,0.3,0,0,0,1.6,27.2
Tyrod Taylor,NYJ,QB,17,430.1,2.5,1.3,30.2,0.2,0,0,0,1.6,27.2
Jarrett Stidham,DEN,QB,17,399.1,2.4,1.7,25.1,0.2,0,0,0,1.5,25.5
Jake Browning,CIN,QB,17,396.6,2.6,1.5,17.4,0.1,0,0,0,1.5,25.5
Michael Penix Jr.,ATL,QB,17,363.9,2.4,1.3,13.9,0.2,0,0,0,1.4,23.8
Mason Rudolph,TEN,QB,17,397.4,2.2,1.3,8,0.1,0,0,0,1.4,23.8
Jameis Winston,CLE,QB,17,359.3,2.2,1.7,13.7,0.1,0,0,0,1.2,20.4
Mike White,MIA,QB,17,373.9,2.1,1.5,4.2,0,0,0,0,1.2,20.4
Joe Flacco,IND,QB,17,348.1,2,1.1,6,0.1,0,0,0,1.2,20.4
Desmond Ridder,ARI,QB,17,337,1.9,1.3,18.3,0.1,0,0,0,1.2,20.4
Mac Jones,JAX,QB,17,342.1,1.9,1.4,12.3,0.1,0,0,0,1.2,20.4
Christian McCaffrey,SF,RB,17,0,0,0,1229.7,10.5,66.4,540.9,5,19.6,333.2
Breece Hall,NYJ,RB,17,0,0,0,1057.3,8.4,65.2,535.8,3.9,17.4,295.8
Bijan Robinson,ATL,RB,17,0,0,0,1052.2,7.2,61.4,513.4,4.3,16.6,282.2
Saquon Barkley,PHI,RB,17,0,0,0,1153.4,9,44.5,324.1,2.9,15.3,260.1
Jonathan Taylor,IND,RB,17,0,0,0,1248.6,9.7,34.4,265.6,1.8,14.8,251.6
Kyren Williams,LAR,RB,17,0,0,0,1098,10.2,36,256.1,2.5,14.3,243.1
Jahmyr Gibbs,DET,RB,17,0,0,0,932.8,8.2,54.6,393.3,1.8,14.4,244.8
Travis Etienne Jr.,JAX,RB,17,0,0,0,958.7,8.3,47.6,374.4,1.5,13.9,236.3
Isiah Pacheco,KC,RB,17,0,0,0,992.6,8.4,43.7,281.8,2,13.5,229.5
Derrick Henry,BAL,RB,17,0,0,0,1149.2,11.4,23.3,190.2,0.9,13.4,227.8
Rachaad White,TB,RB,17,0,0,0,861.9,6.5,50.9,401.2,2.3,13.3,226.1
De'Von Achane,MIA,RB,17,0,0,0,876.7,7.3,43.5,342.3,3,13.2,224.4
Josh Jacobs,GB,RB,17,0,0,0,1025.1,8.4,36.9,283.1,1.3,13.1,222.7
Alvin Kamara,NO,RB,17,0,0,0,709.1,5,66.4,463,1.8,13,221
James Cook,BUF,RB,17,0,0,0,1020.5,4.1,42.9,370.5,2.6,12.9,219.3
Joe Mixon,HOU,RB,17,0,0,0,942.6,7.4,39.2,296.8,2,12.8,217.6
Kenneth Walker III,SEA,RB,17,0,0,0,964.5,8.9,29.8,230.7,1.2,12.2,207.4
James Conner,ARI,RB,17,0,0,0,897.4,6.6,34.2,233.8,1.9,11.5,195.5
Aaron Jones,MIN,RB,17,0,0,0,815.2,5.2,42.3,328.8,1.7,11.5,195.5
Rhamondre Stevenson,NE,RB,17,0,0,0,865.5,5.9,39.6,280,0.9,11.3,192.1
D'Andre Swift,CHI,RB,17,0,0,0,849.8,5.2,39.7,278.9,1.5,11.2,190.4
Zamir White,LV,RB,17,0,0,0,983,5.9,30.8,215.7,0.8,11,187
David Montgomery,DET,RB,17,0,0,0,916,9.4,21,154.6,0.7,11,187
Najee Harris,PIT,RB,17,0,0,0,942.7,7,26.4,170.1,1.1,10.8,183.6
Raheem Mostert,MIA,RB,17,0,0,0,796.4,9,23.5,165.5,1.9,10.7,181.9
Jonathon Brooks,CAR,RB,17,0,0,0,815.8,5.5,35.6,265.6,1.3,10.6,180.2
Jaylen Warren,PIT,RB,17,0,0,0,688.2,3.7,49.1,338.3,1.4,10.5,178.5
Javonte Williams,DEN,RB,17,0,0,0,796.3,5.1,39.3,237.3,1.4,10.5,178.5
Austin Ekeler,WAS,RB,17,0,0,0,521.5,4.5,49.8,403.2,1.9,10.4,176.8
Tony Pollard,TEN,RB,17,0,0,0,816.5,5.7,34.4,237.9,0.8,10.4,176.8
Zack Moss,CIN,RB,17,0,0,0,763.1,6.1,31.8,223.5,1.7,10.3,175.1
Devin Singletary,NYG,RB,17,0,0,0,857.8,5.1,34.4,210.9,0.7,10.2,173.4
Brian Robinson Jr.,WAS,RB,17,0,0,0,764.1,5.6,28.7,237.5,1.9,10,170
Tyjae Spears,TEN,RB,17,0,0,0,599.9,3.8,43.5,331.4,1.3,9.7,164.9
Ezekiel Elliott,DAL,RB,17,0,0,0,664.1,5.9,32.7,225.3,1.4,9.6,163.2
Nick Chubb,CLE,RB,17,0,0,0,856.9,5.9,20.3,158.5,1.1,9.5,161.5
