Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
Josh Allen,BUF,QB,17,3935.2,27.8,14,578.5,8.4,0,0,0,20.1,1041.7
Patrick Mahomes,KC,QB,17,4436.3,32.6,12.1,360.9,1.5,0,0,0,19,1034.2
Jalen Hurts,PHI,QB,17,3850.1,23.2,12.3,608.4,11,0,0,0,20,1030.1
C.J. Stroud,HOU,QB,17,4397.7,29.8,9.4,174.9,2.5,0,0,0,17.8,1005.6
Dak Prescott,DAL,QB,17,4313,30.8,12.6,223.3,1.9,0,0,0,17.5,1005.4
Lamar Jackson,BAL,QB,17,3497.7,24.8,10.1,773.8,4.4,0,0,0,18.5,1001.2
Joe Burrow,CIN,QB,17,4239.2,29.9,12.1,190.9,2.3,0,0,0,17.2,996
Jordan Love,GB,QB,17,3992.9,29.9,11.5,217.9,2.7,0,0,0,16.9,989.4
Brock Purdy,SF,QB,17,4116.1,29.5,11.3,141.7,1.6,0,0,0,16.5,979.1
Jared Goff,DET,QB,17,4295.6,28.9,10.4,47.8,1.1,0,0,0,16,973
Anthony Richardson,IND,QB,17,3421.9,19.7,10,658.3,7.3,0,0,0,17.3,972.8
Kyler Murray,ARI,QB,17,3623.2,21.8,11.7,504.2,5,0,0,0,16.6,964.5
Jayden Daniels,WAS,QB,17,3614.5,20.4,14.3,607.7,4.7,0,0,0,16.3,961.6
Tua Tagovailoa,MIA,QB,17,4280.5,27.2,12.6,82.2,0.5,0,0,0,15.2,959.7
Trevor Lawrence,JAX,QB,17,3898.9,23.6,12.9,303.4,3.5,0,0,0,15.7,958.8
Caleb Williams,CHI,QB,17,3867.3,24.2,13.2,295.6,3.2,0,0,0,15.6,958
Justin Herbert,LAC,QB,17,3674,24,8.8,263.3,3.1,0,0,0,15.6,947.7
Kirk Cousins,ATL,QB,17,3914.3,26.1,10.4,78.2,1,0,0,0,14.4,939.6
Baker Mayfield,TB,QB,17,3776.7,25.4,11.5,153.9,1.3,0,0,0,14.4,936.8
Deshaun Watson,CLE,QB,17,3545.8,22.2,13.7,374.9,2.8,0,0,0,14.7,934.9
Geno Smith,SEA,QB,17,3787.4,23.6,11.5,181.5,1.3,0,0,0,14.3,929.3
Matthew Stafford,LAR,QB,17,3949.3,25.5,12.4,55,0.3,0,0,0,14,929.2
Aaron Rodgers,NYJ,QB,17,3792.4,24.9,9.8,81.6,1.2,0,0,0,14.2,928.4
Derek Carr,NO,QB,17,3844.2,24.4,10.8,63.3,0.4,0,0,0,13.6,920.4
Will Levis,TEN,QB,17,3750.4,20.1,11.5,156.4,1.9,0,0,0,13.4,907.5
Daniel Jones,NYG,QB,17,3270.1,16.2,11.1,437.4,3.1,0,0,0,13.3,895.8
Bryce Young,CAR,QB,17,3389.7,19.3,11.2,250.1,1.4,0,0,0,12.7,891.3
Bo Nix,DEN,QB,17,3096.4,18.6,11.3,220.4,2,0,0,0,12.1,873
Russell Wilson,PIT,QB,17,2830.2,17.6,8.9,282.9,3.1,0,0,0,12.2,868.9
J.J. McCarthy,MIN,QB,17,3037,17.4,10.7,167.6,1.4,0,0,0,11.1,854.5
Drake Maye,NE,QB,17,2879.6,16.3,12,246.1,2.2,0,0,0,11,851.4
Gardner Minshew II,LV,QB,17,2414.2,13.6,8.2,75.9,1.3,0,0,0,8.5,793.3
Sam Darnold,MIN,QB,17,1335.2,7.2,4.4,63.1,0.6,0,0,0,4.7,699.3
Aidan O'Connell,LV,QB,17,1337,7.5,4.7,19.9,0.3,0,0,0,4.4,694.8
